Service ID,Service Name,Category,Target Audience,Starting Price (INR),Billing Type,Timeline,Deliverables,Keywords / Tags
DFX-SRV-01,Website Design & Development,Web Development,"Small Businesses, Clinics, Retail, Startups",5999,One-Time,5-7 Days,"Modern Next.js/WordPress responsive design, 5-7 pages, WhatsApp live chat, lead capture forms, SSL security, basic SEO setup, domain integration.","Website Design, Business Website, Web Development, WordPress Website, Next.js Development, Landing Page Design"
DFX-SRV-02,Google Business Profile & Maps 3-Pack SEO,Local SEO,"Local Retailers, Doctors, Restaurants, Salons, Real Estate",2999,One-Time / Monthly,7-14 Days,"Google Business Profile verification assistance, Category & Sub-category optimization, 50+ Local Citations, Geo-tagged photo uploads, Review generation strategy, Top 3 Local Pack ranking.","Google Business Profile, Google Maps Ranking, Local SEO Services, GMB Optimization, Google 3-Pack, Local Citation Building"
DFX-SRV-03,Generative Engine Optimization (GEO & AI Search),AI Search Optimization,"B2B Companies, Professional Services, Premium Brands",7499,Monthly,15-30 Days,"Schema.org structured data (Organization, LocalBusiness, FAQ), Perplexity/ChatGPT AI citation strategy, knowledge graph building, AI crawler indexing (GPTBot, ClaudeBot).","Generative Engine Optimization, GEO Services, AI Search Citation, ChatGPT Visibility, Perplexity SEO, Schema Markup"
DFX-SRV-04,Search Engine Optimization (SEO - On-Page & Off-Page),Organic Search,All Businesses wanting long-term Google traffic,4999,Monthly Retainer,Ongoing (Monthly),"Keyword research, meta tags optimization, technical audit, speed optimization, quality backlink creation, high-intent blog writing, monthly traffic reports.","SEO Services, Search Engine Optimization, On Page SEO, Off Page SEO, Backlinks, Keyword Ranking, Technical SEO"
DFX-SRV-05,Paid Ads Management (Google Ads & PPC),Performance Marketing,Businesses needing instant high-intent customer leads,5999,Monthly Campaign Fee,2-3 Days Setup,"Google Search, Display & YouTube campaigns, negative keywords sculpting, conversion tracking (GA4), high-converting landing page review, daily bid optimization.","Google Ads, PPC Management, Google Search Ads, Pay Per Click, Lead Generation Ads, SEM Agency"
DFX-SRV-06,Social Media Marketing (Meta Ads & Management),Social Media,"Boutiques, Gyms, D2C Brands, Salons, Coaches, Real Estate",4499,Monthly Retainer,Ongoing (Monthly),"12-15 creative posts + reels monthly, Instagram/Facebook grid design, targeted Meta lead ads, hashtag strategy, audience targeting, comment monitoring.","Social Media Marketing, SMM, Instagram Marketing, Facebook Ads, Meta Lead Ads, Reels Creation, Social Media Management"
DFX-SRV-07,WhatsApp Business API & Lead Automation Funnels,Lead Automation,"Sales teams, Clinics, Service Providers, Educational Institutes",3999,One-Time / Monthly,3-5 Days,"Official WhatsApp Cloud API setup, automated greeting & enquiry auto-responders, website-to-WhatsApp trigger buttons, CRM lead routing, broadcast setup.","WhatsApp Marketing, WhatsApp API, Lead Automation, Chatbot Setup, Lead Funnel, CRM Integration"
DFX-SRV-08,E-Commerce Website Development (Shopify / WooCommerce),Web Development,"Retailers, Fashion Brands, D2C Sellers, Electronics",14999,One-Time,10-14 Days,"Complete online store, payment gateway integration (PayU, Razorpay, UPI), shipping calculator, automated order emails, inventory management, product catalog setup (up to 50 products).","Ecommerce Website, Shopify Store Design, WooCommerce Development, Online Store Setup, Payment Gateway Integration"
DFX-SRV-09,Brand Identity & Corporate Graphic Design,Branding,"New Startups, Rebranding Companies",2499,One-Time,3-4 Days,"Vector HD Logo (PNG/SVG/AI), Brand color palette, typography guidelines, business card design, letterhead, social media kit (profile photos + banners).","Logo Design, Brand Identity, Corporate Branding, Graphic Design, Business Card Design, Social Media Kit"
DFX-SRV-10,Website Speed & Core Web Vitals Optimization,Technical SEO,Slow websites losing rankings and ad money,3499,One-Time,2-3 Days,"90+ PageSpeed Insights score guarantee (mobile & desktop), image compression, JS/CSS minification, CDN setup, server caching, database cleanup.","Website Speed Optimization, Core Web Vitals, WordPress Speed, PageSpeed Optimization, Fast Loading Website"
